,text,category,Unnamed: 0,ln
0,Sex the 9.,Transphobic,,
1,Magalakshmi Mukunthan Ella transgalayum konnudalaam. ,Transphobic,,
2,Today also one transgender scolded me for not giving money... Since I was not having change I said I don't have.... She scolded me badly.... Felt very bad... I always give money to them... Thy some time don't understand us,Transphobic,,
3,"Rajeswari Rajagopalan ; Sister....last week for not giving money I was kicked by one transgender.....at the time I was going through severe/several problems, this act made me rage...hence I beaten that transgender, then a group hurled abuse on me....no one uttered a single word against them...but I too abused them badly....finally lodged a complaint to SP...CM cell....what they are doing here is purely an extortion culpable under IPC 384",Transphobic,,
4,Hey seriously I thought She was a Transgender,Transphobic,,
5,Every transenter says they are doing prostituions  for food but they are wrong for food they need only small amount not 10000 per knight,Transphobic,,
6,Ardhanareeswarar is male and female. This is one sided. +Ve,Transphobic,,
7,"The four people who are there should be together with those outcasts and the people are going to be calm, so those outcasts are doing such incivility or anarchy. Will the human rights activists who support them, who portray them as good people in the movie, ever turn around?",Transphobic,,
8,"When they are young, they change their minds and make money by showing them how they are before they are converted.",Transphobic,,
9,All the trains can't bear the violence of these helpers. Can't the railway police department do away with it?,Transphobic,,
10,Who is he? He is a villain,Transphobic,,
11,It will be okay to throw away all the sloppiness and the society ignores us.,Transphobic,,
12,"A lot of men have become sexual predators, they use their childhood interests and sexualize girls in homes without parental care, so how can you wear girl's clothes and say you are a girl to make money, it's a way to fool people.",Transphobic,,
13,There are many transgenders in Coimbatore and there are many people who pretend to be transgenders and threaten to beg,Transphobic,,
14,Is this Ambala?,Transphobic,,
15,Once upon a time 9 years old daughter...,Transphobic,,
16,Can't stand this transgender harassment,Transphobic,,
17,Seruppala is the only blacksmith.. these are sins..,Transphobic,,
18,"It is wrong to call transsexuals sinful. Their brilliance is everywhere. Their habit is to talk dirty. Once during a bus journey, I gave five cents and if you give ten cents, they scolded me saying that you will not go. Society is afraid of them.",Transphobic,,
19,"Aravanis are social destroyers,..",Transphobic,,
20,I have a doubt whether you are a woman or not,Transphobic,,
21,Aravaniya Kollan is also a dog that takes begs and eats without working,Transphobic,,
22,"Hey, one thing, I don't know if I should call you or not, but you are the only one who is giving interviews to all the channels, where is your son, where is your team, where are you all, you can't show your head in public? will go away",Transphobic,,
23,No no. You only have an idea about transgender then you are transgender..If you say 9 then you will regret it later.Be careful.,Transphobic,,
24,Devtia 9 Pundayanga,Transphobic,,
25,"Srini Vasan, tell me to kill those bags",Transphobic,,
26,"J. devi jahir J. devi jahir Just to hit the goods, buy money.... trainla jalia sutta.... Ewanayadu pidichi ******banni quitrathu.... If this is the case, how will you know the government's assistance..... .Keta says no money; Declare yourself as the third gender is the best progress....job reservation, ration card, house, transplant surgery center... everything is there, ask and buy. It's like you don't ask for money to buy goods",Transphobic,,
27,Can't stand this transgender harassment,Transphobic,,
28,Is she or he? A man? No girl? Is this human response biased? God?,Transphobic,,
29,If all 9 dogs beat together then they will not ask for money,Transphobic,,
30,Those 9 dogs are talking unjustly and everyone else is trying to make fun of them,Transphobic,,
31,no no. You only have an idea about transgender then you are transgender..If you say 9 then you will regret it later.Be careful.,Transphobic,,
32,"If you speak obscene words in front of passengers like this, Pottai Nine Ali is like that, call out to Kantippa, don't behave like this.",Transphobic,,
33,All these kind of dogs should be slapped.,Transphobic,,
34,J. devi jahir J. devi jahir Not all men kill. Not all men rape. But 80% majority of you are like that.. Use your freedom to exist without disturbing anyone. There is such a thing as individual morality,Transphobic,,
35,J. devi jahir J. devi jahir Not all men kill. Not all men rape. But 80% majority of you are like that.. Use your freedom to exist without disturbing anyone. There is such a thing as individual morality,Transphobic,,
36,This is not a gang that extorts money,Transphobic,,
37,Is it a girl or a boy talking?,Transphobic,,
38,All these goddesses cut the gate to run away,Transphobic,,
39,"Hey, one thing, I don't know if I should call you or not, but you are the only one who is giving interviews to all the channels, where is your son, where is your team, where are you all, you can't show your head in public? will go away",Transphobic,,
40,"Srini Vasan, tell me to kill those bags",Transphobic,,
