	text	category	ln
0	അർദ്ധനാരീശ്വരൻ ആണും പെണ്ണുമാണ്. ഇത് ഒരു വശമാണ്. +Ve	Transphobic	eng_ml
1	വിഭാഗം377 | സ്വവർഗരതി നല്ലതോ ചീത്തയോ ആളുകളുടെ അഭിപ്രായം | സ്വവർഗരതി ആളുകളുടെ അഭിപ്രായം	Non-anti-LGBT+ content	eng_ml
2	അവിടെയുള്ള നാലുപേരും ആ പുറന്തള്ളപ്പെട്ടവരോടൊപ്പം ഒന്നിക്കണം, ജനം ശാന്തരാകാൻ പോകുന്നു, അതിനാൽ ആ പുറത്താക്കപ്പെട്ടവർ ഇത്തരത്തിൽ അനാശാസ്യമോ ​​അരാജകത്വമോ ചെയ്യുന്നു. അവരെ പിന്തുണയ്ക്കുന്ന, സിനിമയിൽ നല്ലവരായി ചിത്രീകരിക്കുന്ന മനുഷ്യാവകാശ പ്രവർത്തകർ എന്നെങ്കിലും തിരിഞ്ഞുനോക്കുമോ?	Transphobic	eng_ml
3	ശാന്ത് ഷാ  പറയുന്നത് ലൈംഗികത പ്രത്യുൽപാദനത്തിന് മാത്രമുള്ളതാണെന്ന്! എന്നാൽ പ്രസവ ആശുപത്രികളിൽ ഗർഭനിരോധന മാർഗ്ഗങ്ങൾ സ്വീകരിക്കുന്നതിൽ നിന്ന് നിങ്ങൾ എന്തുകൊണ്ട് സ്ത്രീകളെ തടയുന്നില്ല? നിങ്ങൾ ചോര തിന്നാൽ ഞങ്ങൾ തക്കാളി ചട്ണി കഴിക്കും!!	Non-anti-LGBT+ content	eng_ml
4	ജീവനതി പ്രിയൻ ഹായ്	Non-anti-LGBT+ content	eng_ml
5	ഇതൊക്കെ നാട്ടിൽ വിടുന്നത് വളരെ തെറ്റായ ഒരു നായയാണ്	Homophobic	eng_ml
6	അതെ സഹോദരാ, നിങ്ങൾ പറഞ്ഞത് ശരിയാണ്, സർക്കാർ ജോലി, ലോകത്തിന് ഇത് സഹിക്കാൻ കഴിയില്ല	Non-anti-LGBT+ content	eng_ml
7	തിരുമലൈ നമ്പിരാജൻ പെരുമാൾ ചിന്നി നിങ്ങൾ കരുതുന്നു	Non-anti-LGBT+ content	eng_ml
8	ഡിച്ചിംഗ് ഡിച്ചിംഗ്. ഇതിൽ, ന്യായമായ മനസ്സ് അന്യഗ്രഹ തലയോട്ടിയാണ്.	Homophobic	eng_ml
9	ആദ്യം തന്നെ പറയൂ, അഭിമുഖം നടത്തുന്നയാൾ സ്ത്രീയാണോ അല്ലയോ?...... Pls... thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up ദയവായി ഈ മൃഗത്തെ AREA 51 ലേക്ക് അയയ്ക്കുക.....	Homophobic	eng_ml
10	എന്തുകൊണ്ടാണ് ഇവരെല്ലാം ജീവിച്ചിരിക്കുന്നത്?	Homophobic	eng_ml
11	അത്തരം നായ്ക്കളെ വെടിവച്ചു കൊല്ലണം	Homophobic	eng_ml
12	നിങ്ങൾ കൂടുതൽ കാലം ജീവിക്കണം	Non-anti-LGBT+ content	eng_ml
13	മൂല്യ പ്രതിഭ ... Plss gender pakkathiga ...	Non-anti-LGBT+ content	eng_ml
14	മനുഷ്യനോട് പറയൂ എല്ലാം വ്യത്യസ്തമാണ് എന്നാൽ വികാരം ഒന്നുതന്നെയാണ്.... സങ്കടപ്പെടുമ്പോൾ നാം കരയുകയോ സന്തോഷിക്കുമ്പോൾ ചിരിക്കുകയോ ആറ് അഭിരുചികളും ഒന്നുതന്നെയാണ് എന്നാൽ ഈ വികാരം മാത്രം കാണിക്കുക.	Non-anti-LGBT+ content	eng_ml
15	മൃഗ ലൈംഗികത ഇനി അനുവദിക്കില്ല	Homophobic	eng_ml
16	അവരുടെ സ്നേഹം യഥാർത്ഥമാണ് plz.............	Non-anti-LGBT+ content	eng_ml
17	നിങ്ങളെക്കുറിച്ചുള്ള എല്ലാ കാര്യങ്ങളും ഞാൻ ഇഷ്ടപ്പെടുന്നു, നിങ്ങളെ ഒരു ദൈവമായി ഞാൻ കരുതുന്നു	Non-anti-LGBT+ content	eng_ml
