	text	category	ln
0	अर्धनारीश्वरर पुरुष और महिला हैं। यह एक तरफा है। +वी	Transphobic	eng_hin
1	धारा 377 | समलैंगिकता अच्छी है या बुरी लोगों की राय | समलैंगिकता लोगों की राय	Non-anti-LGBT+ content	eng_hin
2	जो चार लोग हैं वे उन बहिष्कृतों के साथ हों और लोग शांत होने वाले हैं, इसलिए वे बहिष्कृत ऐसी कटुता या अराजकता कर रहे हैं। क्या मानवाधिकार कार्यकर्ता जो उनका समर्थन करते हैं, जो उन्हें फिल्म में अच्छे लोगों के रूप में चित्रित करते हैं, कभी पलटेंगे?	Transphobic	eng_hin
3	शांत शा  का कहना है कि सेक्स केवल प्रजनन के लिए है! लेकिन आप प्रसूति अस्पतालों में महिलाओं को गर्भनिरोधक लेने से क्यों नहीं रोकते? खून तुम खाते हो तो हम टमाटर की चटनी खाते है !!	Non-anti-LGBT+ content	eng_hin
4	जीवन्ति प्रियं हि	Non-anti-LGBT+ content	eng_hin
5	यह सब देश में छोड़ देना बहुत गलत कुत्ता है	Homophobic	eng_hin
6	हाँ भैया, आप सही कह रहे हैं, सरकार का काम, दुनिया इसे बर्दाश्त नहीं कर सकती	Non-anti-LGBT+ content	eng_hin
7	थिरुमलाई नंबिराजन पेरुमल चिन्नी आपको लगता है	Non-anti-LGBT+ content	eng_hin
8	खाई खोदना। इसमें फेयर माइंड एलियन स्कल है।	Homophobic	eng_hin
9	सबसे पहले, मुझे बताएं कि साक्षात्कारकर्ता महिला है या नहीं?...... कृपया... थम्स_अप थम्स_अप थम्स_अप थम्स_अप थम्स_अप कृपया इस जानवर को एरिया 51 पर भेजें.....	Homophobic	eng_hin
10	ये सभी लोग जीवित क्यों हैं?	Homophobic	eng_hin
11	ऐसे कुत्तों को गोली मार देनी चाहिए	Homophobic	eng_hin
12	आपको अधिक समय तक जीवित रहना चाहिए	Non-anti-LGBT+ content	eng_hin
13	वैल्यू टैलेंट ... कृपया जेंडर पक्काथिगा ...	Non-anti-LGBT+ content	eng_hin
14	बोलो यार सब कुछ अलग है पर एहसास एक ही है... उदास होने पर रोते हैं या खुश होते हैं तो हंसते हैं और सभी छह स्वाद एक जैसे हैं लेकिन सिर्फ यही एहसास दिखाते हैं।	Non-anti-LGBT+ content	eng_hin
15	पशु सेक्स की अब अनुमति नहीं है	Homophobic	eng_hin
16	उनका प्यार सच्चा है प्लीज...........	Non-anti-LGBT+ content	eng_hin
17	मुझे तुम्हारी हर बात अच्छी लगती है और मैं तुम्हें भगवान मानता हूं	Non-anti-LGBT+ content	eng_hin
18	हे ईसा जगत की ज्योति, तुम जैसे लोग जिनके पास आत्म-बुद्धि नहीं है वे अज्ञानी हैं और गाय का गोबर और गोमूत्र खाते हैं।	Non-anti-LGBT+ content	eng_hin
19	मेरा एक अनुरोध है दोस्तों ... कृपया उन लोगों की मदद करें जो इस ट्रांससेक्सुअल को देखते हैं इससे पहले कि वे हमारे पास आएं और मदद मांगें .... कम से कम हम वह सम्मान करेंगे red_heart	Non-anti-LGBT+ content	eng_hin
20	मुझे हिंदी फेस_विथ_मेडिकल_मास्क नहीं आती	Non-anti-LGBT+ content	eng_hin
21	इतना अच्छा काम करने के लिए धन्यवाद	Non-anti-LGBT+ content	eng_hin
22	कृपया मुझे कमेंट करें।	Non-anti-LGBT+ content	eng_hin
23	बहुत बढ़िया माँ ट्रांसजेंडर फोन	Non-anti-LGBT+ content	eng_hin
24	बीएसएम क्या आप समलैंगिकों को पसंद करते हैं?	Non-anti-LGBT+ content	eng_hin
25	क्या कोई हिट खरीदकर बेकार हो सकता है? क्या उससे पूछना क्रूर है? मुत्तबुंदा बेटा	Non-anti-LGBT+ content	eng_hin
26	फोन करें	Non-anti-LGBT+ content	eng_hin
27	बीएसएम क्या आप हर दिन ऐसा करते हैं? कोई भी। उस समय आपके पति क्या करेंगे?	Non-anti-LGBT+ content	eng_hin
28	तमिल में जोस मॉर्फिन	Non-anti-LGBT+ content	eng_hin
29	सुभाष बोस क्या जीवन केवल बच्चे पैदा करने के लिए है...???	Non-anti-LGBT+ content	eng_hin
30	मेरे पास भी यही विचार है	Non-anti-LGBT+ content	eng_hin
31	न तो समलैंगिकता, न ही हस्तमैथुन, न तो श्रेष्ठ संस्कृति है और न ही व्यक्तिगत स्वतंत्रता। यह प्रकृति और भगवान के खिलाफ पाप है। यह भगवान की प्रकृति का नियम है कि पुरुष और महिला को एक होना चाहिए और इसलिए प्रजनन करना चाहिए इसे बदलना पाप है। अदालत को ऐसा करने देना मानव जाति के विनाश की ओर एक यात्रा है। ईसाई धर्म इसकी कड़ी निंदा करता है। आइए न्याय व्यवस्था के लिए प्रार्थना करें और राष्ट्र पवित्र हो जाएगा! तथास्तु	Homophobic	eng_hin
32	शगुल हमीद शगुल देई तुलुक्का ये... खत्म करो...	Non-anti-LGBT+ content	eng_hin
33	हम यह नहीं पूछने जा रहे हैं कि आप जो भी कहते हैं, वह एक पुरुष के लिए एक महिला है। कोई और काम है तो लोगों को देखिए।	Homophobic	eng_hin
34	थिरुनांगई ट्रांसजेंडर की समीक्षा करें	Non-anti-LGBT+ content	eng_hin
35	यही मजा है	Non-anti-LGBT+ content	eng_hin
36	यह बहुत बुरा काम है।माँ और पिताजी दो हैं।	Homophobic	eng_hin
37	यार, सुपर सुपर, आपकी प्रतिभा के लिए बधाई	Non-anti-LGBT+ content	eng_hin
38	बहुत बढ़िया भाई बहुत बढ़िया थम्स_अप रेड_हार्ट थम्स_अप	Non-anti-LGBT+ content	eng_hin
39	तुम एक ख़ूबसूरत लड़की हो	Non-anti-LGBT+ content	eng_hin
40	कुड्डालोर जिला धर्मलिंगम बूमिनाथन	Non-anti-LGBT+ content	eng_hin
41	ईश्वर आपके साथ रहेगा।	Non-anti-LGBT+ content	eng_hin
42	हरे रंग की जैकेट.दिव्या.चाँद को देखो.उसे देखकर निकलोगे तो चावल नहीं मिलेंगे. दिव्या.तिरुपुरला .कट्टापंचायत..पन्ना..पी*** कटेगी।	Non-anti-LGBT+ content	eng_hin
43	वह मन सर भगवान man_shruggging सलाम भाई हाथ मिलाना	Non-anti-LGBT+ content	eng_hin
44	आप सभी अर्थनारीश्वरर को दुनिया एक दिन यह जान जाएगी। तब तक प्रतीक्षा करें। आइए सोचते हैं कि अच्छी चीजें होती हैं।	Non-anti-LGBT+ content	eng_hin
45	औंगा वेलैना यह एडमिन लोलाई की तरह है ....	Non-anti-LGBT+ content	eng_hin
46	आंख मारने वाली पोस्ट क्या तुम लड़के हो?	Non-anti-LGBT+ content	eng_hin
47	अंत शुरू हो गया है	Homophobic	eng_hin
48	वे बहुत शाब्दिक हैं। पुलिस को कार्रवाई करनी चाहिए	Non-anti-LGBT+ content	eng_hin
49	किसी भी जीव ने कभी अपने वंश का नाश नहीं किया। मानवजाति, जो कारण होने का दावा करती है, सभी स्वीकृति के साथ स्वयं को बिगाड़ने और नष्ट करने का महान पाप करना चाहती है। मां की अपने बच्चे के प्रति क्रूरता के बारे में हम पहले ही सुन चुके हैं। हमारे देश में और कितने भयानक अत्याचार और महामारियां आएंगी	Homophobic	eng_hin
50	आपने थोड़ा-थोड़ा करके बोना शुरू किया है	Non-anti-LGBT+ content	eng_hin
51	जेल की कोठरी एक दिन आपका इंतजार कर रही है बेटा सेक्स तो सिर्फ 5 मिनट का है लेकिन पवित्रता आपसे कोसों दूर है	Non-anti-LGBT+ content	eng_hin
52	मुझे समझ नहीं आ रहा है कि आप क्या कह रहे हैं। बेहतर होगा कि आप इसे तमिल में कहें। धन्यवाद	Non-anti-LGBT+ content	eng_hin
53	नसामा नाश का अंतिम उपाय है। यह ईश्वर का सबसे बड़ा पाप है। इस प्रकार परमेश्वर ने सदोम और अमोरा को सदोम और अमोरा की भूमि के साथ मिट्टी में मिला दिया। चलो इसे कानूनी तौर पर गलत बताते हैं ताकि फिर से कोरोना जैसी तबाही ना हो। सदोम और अमोरा के विनाश का प्रमाण पृथ्वी पर है।	Homophobic	eng_hin
54	जो कंधे पर टेक दे, दोस्त छाती पर टेक दे, पत्नी पेट को गले लगा ले, जीवन में वारिस महत्वपूर्ण हैं।	Non-anti-LGBT+ content	eng_hin
55	उस बीच के आदमी की चिंता मत करो जो मुस्कुराता नहीं है.. मेरे बेटे, तुम ही हो जो मुस्कुरा रहे हो.	Non-anti-LGBT+ content	eng_hin
56	आपकी मुस्कान बड़ी प्यारी है	Non-anti-LGBT+ content	eng_hin
57	कैथरीन.. वे कहां से हैं...तिरुकोइलुर..	Non-anti-LGBT+ content	eng_hin
58	नाइस स्पेशल फैशन एक्सप्रेशन.... स्माइल_फेस_विद_दिल-आँखें	Non-anti-LGBT+ content	eng_hin
59	v v अजीब लगता है जब हम यह सब देखते हैं कि हम सब गांव पर राज करें..	Non-anti-LGBT+ content	eng_hin
60	ये सैटर्न पेट्रोल डाल कर जलाएंगे पुलिस असमंजस में है कि किस सेल में इन्हें जेल में बंद किया जाए.	Non-anti-LGBT+ content	eng_hin
61	याचना_जोर से चेहरा_रोना_चेहरा थंब_अप_मध्यम-प्रकाश_त्वचा_स्वर	Non-anti-LGBT+ content	eng_hin
62	यदि ब्राथन आपको चाकू से बुलाते हैं तो क्या आप प्रथल को घुमाकर छोड़ देते हैं?	Non-anti-LGBT+ content	eng_hin
63	क्या हो रहा है, सब लोग बार्ड लेना शुरू करें	Non-anti-LGBT+ content	eng_hin
64	मुंह इस जोकर_चेहरे जैसा क्यों है	Non-anti-LGBT+ content	eng_hin
65	सेनीला, आपके पास यथार्थवादी भाषण और मनोवैज्ञानिक ज्ञान है। आप 50 साल की उम्र में बात कर सकते हैं। आप कम उम्र में रंबा व्यावहारिक बोल सकते हैं।	Non-anti-LGBT+ content	eng_hin
66	कोई भी रिश्ता जो किसी को मजबूर नहीं करता वह गलत है	Non-anti-LGBT+ content	eng_hin
67	समलैंगिकता गलत नहीं है... उन्हें अपनी जिंदगी जीने दीजिए... देश का कोई नुकसान नहीं है।'	Non-anti-LGBT+ content	eng_hin
68	धू बोलते सिर पसीने की बूँदें आज भी ऐसा दिन है जो आम जनता को मदहोश कर देता है... man_facepalming	Non-anti-LGBT+ content	eng_hin
69	यह एक विदेशी साजिश है। यह अब तक का सबसे भीषण हमला है। मुझे समझ नहीं आता कि महिलाएं इसका समर्थन कैसे करती हैं। कंप्यूटर कंपनी में पढ़ने और काम करने वाले पुरुषों और महिलाओं को ही समर्थन दिया जाता है। ये सभी पैसे के लिए विदेशी संस्कृति के गुलाम हैं।	Homophobic	eng_hin
70	साथिया सीलन सभी ईसाई देशों ने विवाह को स्वीकार कर लिया है..जब देश में धार्मिक अल्पसंख्यक है तो लिंग अल्पसंख्यक नहीं होना चाहिए ?? 5 क्या हम वो गलती जानते हैं जो जजों को पता नहीं चली?????????	Non-anti-LGBT+ content	eng_hin
71	शादीशुदा नहीं। उच्च शिक्षा प्राप्त छात्र	Non-anti-LGBT+ content	eng_hin
72	मेरा फोन मैंने आपको एक व्हाट्सएप संदेश भेजा है	Non-anti-LGBT+ content	eng_hin
73	शिव शिव का नंबर भेजें और हम व्हाट्सएप पर बात कर सकते हैं।	Non-anti-LGBT+ content	eng_hin
74	स्वभाव नहीं बदलना चाहिए।	Homophobic	eng_hin
75	वह मन ही प्रभु है।	Non-anti-LGBT+ content	eng_hin
76	मनुष्य जो कुछ कर सकता है उसका न्याय के दिन न्याय किया जाएगा, और कोई भी नहीं बचेगा।	Homophobic	eng_hin
77	यह समलैंगिक जीवन बर्बाद हो जाएगा क्योंकि यह एक प्रतिक्रिया है कि नर और मादा प्रजातियों को किस लिए बनाया गया था .... इस अनुचित लिंग आकर्षण से क्या होगा जिसमें कुछ भी नहीं है .... नर और मादा निषेचन भी मानसिक रूप से फायदेमंद है।	Homophobic	eng_hin
