	text	category	ln
0	நான் அவளை ஆதரிக்கிறேன், மிகவும் புத்திசாலி பொண்ணு	Non-anti-LGBT+ content	eng_tam
1	priyadharshini kannan பாலுறவுடன் ஒரே பாலின ஈர்ப்பு என்பது முதலில் காதல் அல்ல.. காதல் என்பது அதிக நேர்மறையான பக்கவிளைவுகளைக் கொண்ட ஒரு மனநோய்.. ஆனால் பாலுறவுக்குப் பொருத்தமான ஒரே பாலின ஈர்ப்பு ஒரு பைத்தியக்கார சகோதரன்	Homophobic	eng_tam
2	சகோ உங்கள் பெயர் மற்றும் தொலைபேசி எண் (அல்லது) மொபைல் எண் தயவுசெய்து கொடுங்கள்	Non-anti-LGBT+ content	eng_tam
3	அனுபவம்  நன்றி அண்ணா நான் உன்னை மிகவும் நேசிக்கிறேன் அண்ணா	Non-anti-LGBT+ content	eng_tam
4	உலகம் நாளுக்கு நாள் மோசமாகிக் கொண்டே போகிறது....	Non-anti-LGBT+ content	eng_tam
5	தயவு செய்து விரைவில் பாகம் 2 பதிவேற்றவும்	Non-anti-LGBT+ content	eng_tam
6	டாக்டர்.வெங்கடேஷ் ராஜகோபாலன்  ஐயா விலங்குகளுக்கு இடையேயான இனச்சேர்க்கை வித்தியாசமான முறையில் உள்ளது, அதாவது ஒரு விலங்கு குட்டியைப் பெற்றெடுத்தால், விபச்சாரத்தை அடைந்த பிறகு, இனச்சேர்க்கைக்கு வேறு விலங்குகள் இல்லையென்றால் அது குட்டியைப் பெற்றெடுக்கும் விலங்குடன் இணைகிறது. .; ; என் கருத்துப்படி, LGBTI என்பது ஒற்றைப் பாலினத்தவர் விரும்பும் நபருக்கு இடையே ஓரளவு சமத்துவம். இந்த நீதி நமக்கு சமூகத்தில் சமத்துவத்தை வழங்கியுள்ளது. அவர்களை விமர்சிக்க எங்களுக்கு உரிமை இல்லை.	Non-anti-LGBT+ content	eng_tam
7	நான் எல்ஜிபிடியை ஆதரிப்பேன் ஆணுக்கு ஆண் திருமண சமத்துவத்தை ஆதரிப்பேன்	Non-anti-LGBT+ content	eng_tam
8	இந்த நபர்கள் படித்தவர்கள், முதியோர் இல்லங்கள், பெண்கள் பிஜி மகப்பேறு மருத்துவமனைகள் மால்கள் மற்றும் ஃபேஷன் டிசைன் செவிலியர்கள் ஆரம்பப் பள்ளி ஆசிரியர்கள் போன்ற வேலைகளுக்குப் பயிற்சி பெறலாம். அவர்களின் சங்கம் மேம்பாட்டிற்காக அரசுடன் இணைந்து செயல்பட வேண்டும்.	Non-anti-LGBT+ content	eng_tam
9	திரைப்படத்தால் முழுவதுமாக நகர்த்தப்பட்டது! அருமையான படத்தொகுப்பு, இசை, உணர்ச்சிகரமான காட்சிகள் மற்றும் அற்புதமான நடிப்பு! நடிகர்கள் உண்மையிலேயே ஒரு சிறந்த வேலையைச் செய்திருக்கிறார்கள்! பாராட்டுக்கள்!!	Non-anti-LGBT+ content	eng_tam
10	சகோ..இன்னும் நம் மாநிலத்தில் காதல் திருமணத்தை ஏற்கவில்லை.. 20 முதல் 30% காதலை மட்டுமே குடும்பத்தினர் ஏற்றுக்கொண்டுள்ளனர்.	Non-anti-LGBT+ content	eng_tam
11	பொழுதுபோக்கிற்கு பரவாயில்லை வாழ்க்கைக்காக அல்ல.	Non-anti-LGBT+ content	eng_tam
12	மற்றவர்களுக்கு எந்தத் தீங்கும் இல்லாதபோது ஒவ்வொருவரும் எதையும் சொந்தமாக எடுக்க முடியாது	Non-anti-LGBT+ content	eng_tam
