	text	category	ln
0	ഞാൻ അവളെ പിന്തുണയ്ക്കുന്നു, വളരെ മിടുക്കനായ പൊന്നു	Non-anti-LGBT+ content	eng_ml
1	priyadharshini kannan  ലൈംഗികതയ്‌ക്കൊപ്പം ഒരേ ലിംഗ ആകർഷണം ഒരു പ്രണയമല്ല	Homophobic	eng_ml
2	ബ്രോ നിങ്ങളുടെ പേരും ഫോൺ നമ്പറും (അല്ലെങ്കിൽ) മൊബൈൽ നമ്പറും ദയവായി അറിയിക്കുക	Non-anti-LGBT+ content	eng_ml
3	അനുഭവം  നന്ദി സഹോദരാ ഞാൻ നിന്നെ വളരെയധികം സ്നേഹിക്കുന്നു ബ്രോ	Non-anti-LGBT+ content	eng_ml
4	ലോകം നാൾക്കുനാൾ മോശമായിക്കൊണ്ടിരിക്കുന്നു....	Non-anti-LGBT+ content	eng_ml
5	ദയവായി ഭാഗം 2 ഉടൻ അപ്‌ലോഡ് ചെയ്യുക	Non-anti-LGBT+ content	eng_ml
6	ഡോ. വെങ്കടേഷ് രാജഗോപാലൻ  സർ മൃഗങ്ങൾ തമ്മിലുള്ള ഇണചേരൽ വ്യത്യസ്തമായ രീതിയിലാണ്, അതായത് ഒരു മൃഗം കുഞ്ഞിനെ പ്രസവിച്ചാൽ, വ്യഭിചാരം നേടിയ ശേഷം, ഇണചേരാൻ മറ്റ് മൃഗങ്ങൾ ഇല്ലെങ്കിൽ, കുഞ്ഞിനെ പ്രസവിക്കുന്ന മൃഗവുമായി ഇണചേരുന്നു. .; ; എന്റെ ബോധമനുസരിച്ച് LGBTI എന്നത് ഏക ലിംഗം ആഗ്രഹിക്കുന്ന വ്യക്തി തമ്മിലുള്ള ഒരു പരിധിവരെ തുല്യതയാണ്. ഈ നീതി നമുക്ക് സമൂഹത്തിൽ തുല്യത നൽകി. അവരെ വിമർശിക്കാൻ ഞങ്ങൾക്ക് അവകാശമില്ല.	Non-anti-LGBT+ content	eng_ml
7	ഞാൻ എൽജിബിടിയെ പിന്തുണയ്ക്കും പുരുഷനെ പുരുഷനുമായുള്ള വിവാഹ സമത്വത്തെ ഞാൻ പിന്തുണയ്ക്കും	Non-anti-LGBT+ content	eng_ml
8	നഴ്‌സിംഗ്‌ഹോമുകളിലെ സെക്യൂരിറ്റി ഉദ്യോഗസ്ഥർ, സ്ത്രീകളുടെ പിജി മെറ്റേണിറ്റി ഹോസ്പിറ്റൽ മാളുകൾ, ഫാഷൻ ഡിസൈൻ നഴ്‌സുമാർ പ്രൈമറി സ്‌കൂൾ അധ്യാപകർ തുടങ്ങിയ ജോലികൾക്കായി ഈ വ്യക്തികൾക്ക് വിദ്യാഭ്യാസം നൽകാനും പരിശീലനം നൽകാനും കഴിയും. അവരുടെ കൂട്ടായ്മ ഉന്നമനത്തിനായി സർക്കാരുമായി ചേർന്ന് പ്രവർത്തിക്കണം.	Non-anti-LGBT+ content	eng_ml
9	സിനിമയെ മൊത്തത്തിൽ ചലിപ്പിച്ചു! മികച്ച ചിത്രീകരണം, സംഗീതം, വൈകാരിക സീക്വൻസുകൾ, ഗംഭീരമായ അഭിനയം! അഭിനേതാക്കൾ ശരിക്കും ഒരു മികച്ച ജോലി ചെയ്തു! അഭിനന്ദനങ്ങൾ!!	Non-anti-LGBT+ content	eng_ml
10	ബ്രോ..നമ്മുടെ സംസ്ഥാനത്ത് ഇപ്പോഴും പ്രണയവിവാഹം അംഗീകരിക്കപ്പെട്ടിട്ടില്ല.. 20 മുതൽ 30 ശതമാനം വരെ മാത്രമേ കുടുംബം അംഗീകരിച്ചിട്ടുള്ളൂ.	Non-anti-LGBT+ content	eng_ml
11	വിനോദത്തിന് കുഴപ്പമില്ല ജീവിതത്തിനല്ല.	Non-anti-LGBT+ content	eng_ml
12	മറ്റുള്ളവർക്ക് ഒരു ദോഷവും സംഭവിക്കാത്തപ്പോൾ ഓരോരുത്തർക്കും സ്വന്തമായി തീരുമാനമെടുക്കാൻ കഴിയില്ല	Non-anti-LGBT+ content	eng_ml
13	ഇത് വളരെ ഹൃദയസ്പർശിയാണ്, അന്ന അപേക്ഷിക്കുന്ന_മുഖം തകർന്ന_ഹൃദയം	Non-anti-LGBT+ content	eng_ml
14	ഞാൻ 50 സിനിമകൾ കണ്ടിട്ടില്ല, പക്ഷേ ഈ ഡോക്യുമെന്ററി റിബൺ റെയിൻബോ ഉപയോഗിച്ച് 50 തവണ ഹൃദയസ്പർശിയായ ഈ ഡോക്യുമെന്ററി ഞാൻ കണ്ടു.	Non-anti-LGBT+ content	eng_ml
15	വിഷമിക്കേണ്ട സഹോദരാ എല്ലാം ശരിയാകും...	Non-anti-LGBT+ content	eng_ml
16	എന്തുകൊണ്ടാണ് നിങ്ങൾ ട്രാൻസ്‌ജെൻഡർ എന്ന് തലക്കെട്ട് ഇട്ടത്? കാഴ്ചകൾക്കായി?	Non-anti-LGBT+ content	eng_ml
17	ക്രിസ്തുമതം ഒരു ക്രിസ്ത്യാനിക്ക് യുക്തിരഹിതവും പ്രായോഗികമല്ലാത്തതും സത്യമില്ലാത്തതുമാണ്	Non-anti-LGBT+ content	eng_ml
18	അവൾ വലിയ കൂപ്പുകൈകളാണ്	Non-anti-LGBT+ content	eng_ml
19	സണ്ടല തമിഴ് പിറവികൾ	Non-anti-LGBT+ content	eng_ml
20	ജയ് അന്ന വേറെ അഭിനയിക്കും	Non-anti-LGBT+ content	eng_ml
21	Tq വളരെയധികം, ടീം അംഗങ്ങൾക്ക് അഭിനന്ദനങ്ങൾ, നിങ്ങളുടെ ഭാവി പ്രോജക്റ്റുകൾക്ക് തംബ്സ് അപ്പ്	Non-anti-LGBT+ content	eng_ml
