	text	category	ln
0	అర్థనారీశ్వరుడు పురుషుడు మరియు బిమల్. ఇది ఒక కోట్. + మార్గం	Transphobic	eng_tel
1	విభాగం ௭౭ | స్వలింగ సంపర్కం మంచిదా చెడ్డదా ప్రజాభిప్రాయం | స్వలింగ సంపర్కంపై ప్రజల అభిప్రాయం	Non-anti-LGBT+ content	eng_tel
2	ఉన్న నలుగురూ ఆ బహిష్కృతులతో కలిసి ఉండాల్సింది పోయి జనం ప్రశాంతంగా వెళ్లడం వల్ల ఆ బహిష్కృతులు ఇంత అసాంఘికత లేక అరాచకాలు చేస్తున్నారు. వారిని సపోర్ట్ చేసే మానవహక్కుల కార్యకర్తలు, సినిమాలో మంచివాళ్ళుగా చూపించే వాళ్ళు ఇకనైనా తిరగబడతారా?	Transphobic	eng_tel
3	శృంగారం పునరుత్పత్తి కోసమే అని శాంత్షా చెప్పింది! కానీ ప్రసూతి ఆసుపత్రులలో గర్భనిరోధకాలను స్వీకరించకుండా మీరు ఎందుకు నిరోధించరు? మీరు రక్తం తింటే, మేము టమోటా చట్నీ తింటాము !!	Non-anti-LGBT+ content	eng_tel
4	జీవనతి ప్రియన్ హాయ్	Non-anti-LGBT+ content	eng_tel
5	వీటన్నింటినీ దేశంలో వదిలేయడం చాలా తప్పుడు చర్చ	Homophobic	eng_tel
6	ఎస్ బ్రదర్, యు ఆర్ రైట్, గవర్నమెంట్ వర్క్, ది వరల్డ్ కానట్ లీగలైజ్	Non-anti-LGBT+ content	eng_tel
7	తిరుమలై నంబిరాజన్ పెరుమాళ్ చిన్ని యు థింక్	Non-anti-LGBT+ content	eng_tel
8	బోధించడం అంటే బోధించడం. ఇందులో ది బోయర్ మైండ్ ఏలియన్ స్కల్.	Homophobic	eng_tel
9	అన్నింటిలో మొదటిది, ఇంటర్వ్యూ చేసే వ్యక్తి ఆడవాడా కాదా?...... Pls... thumbs_up thumbs_up thumbs_up thumbs_up దయచేసి ఈ జంతువును AREA 51కి పంపండి.....	Homophobic	eng_tel
10	మనమందరం దేశ ప్రజల విధ్వంసమా?	Homophobic	eng_tel
11	సుగి డాక్స్ షూట్ చేయాలి	Homophobic	eng_tel
12	మీరు ఎక్కువ కాలం జీవించాలి	Non-anti-LGBT+ content	eng_tel
13	వాలుక్కే టాలెంట్ ... ప్లస్ జందర్ పకతిక ...	Non-anti-LGBT+ content	eng_tel
14	మనిషికి అన్నీ వేరు కానీ ఫీలింగ్ ఒకటే అని చెప్పు....దుఃఖంలో ఉన్నప్పుడు ఏడుస్తాం లేదా ఆనందంగా ఉన్నప్పుడు నవ్వుతాం, ఆరు రుచులూ ఒకటే అయితే ఈ అనుభూతిని ఒక్కటే చూపించండి.	Non-anti-LGBT+ content	eng_tel
15	యానిమల్ చెస్ ఇకపై అనుమతించబడదు	Homophobic	eng_tel
16	వారి ప్రేమ నిజమైనది ప్లీజ్.............	Non-anti-LGBT+ content	eng_tel
17	నేను మీ గురించి ప్రతిదీ ప్రేమిస్తున్నాను మరియు నేను మిమ్మల్ని కోడ్‌గా భావిస్తున్నాను	Non-anti-LGBT+ content	eng_tel
18	ఓ జీసస్, ప్రపంచానికి వెలుగు, నీలాంటి స్వీయ-బుద్ధి లేని వ్యక్తులు అజ్ఞానులు మరియు గోవు తుంగ్ మరియు గోయూరిన్ తింటారు.	Non-anti-LGBT+ content	eng_tel
19	ఇ, స్నేహితులను తిరస్కరించండి...దయచేసి వారికి సహాయం చేయండి ఈ ట్రాన్సస్‌వల్ కంటే మా వద్దకు వచ్చి సహాయం కోసం అడగండి....కనీసం మేము రెడ్‌హార్ట్‌ను గౌరవిస్తాము	Non-anti-LGBT+ content	eng_tel
20	E హిందీ పాస్_వైత్_మెడికల్_మాస్క్ తెలియదు	Non-anti-LGBT+ content	eng_tel
21	సుగీని మంచి సబ్బు చేసినందుకు ధన్యవాదాలు	Non-anti-LGBT+ content	eng_tel
22	దయచేసి నాకు వ్యాఖ్యానించండి.	Non-anti-LGBT+ content	eng_tel
23	అద్భుతమైన అమ్మ ట్రాన్స్‌సెండర్ ఫోన్	Non-anti-LGBT+ content	eng_tel
24	పశుమ్ మీకు వంటకాలు ఇష్టమా?	Non-anti-LGBT+ content	eng_tel
25	నేను ఒక హిట్ ద్వారా ఒకటి కొనుగోలు చేసి చెల్లించవచ్చా? అతన్ని అడగడం చాలా చిన్నదా? సీనియర్ పుంతై సూర్యుడు	Non-anti-LGBT+ content	eng_tel
26	కాల్ చేయుము	Non-anti-LGBT+ content	eng_tel
27	పశుమ్ నువ్వు ఎవరికి అలా చేస్తావు? ఒకరికొకరు ఆ సమయంలో మీ హంచ్‌బ్యాక్ ఏమి చేస్తుంది?	Non-anti-LGBT+ content	eng_tel
28	తమిళంలో జోస్ మొరాబిన్	Non-anti-LGBT+ content	eng_tel
29	సుభాష్ బోస్ లైవ్ కేవలం చిల్లింగ్ గురించి మాత్రమే...???	Non-anti-LGBT+ content	eng_tel
30	E కలిగి ఆ tauktt banyai	Non-anti-LGBT+ content	eng_tel
31	స్వలింగ సంపర్కం లేదా హస్తప్రయోగం రెండూ ఉన్నతమైన సంస్కృతి లేదా వ్యక్తిగత స్వేచ్ఛ కాదు. ఇది ప్రకృతికి, దేవుడికి వ్యతిరేకంగా చేసిన పాపం. స్త్రీ పురుషుడు ఏకం కావాలి కాబట్టి సంతానం కలగాలన్నది భగవంతుని ధర్మం. అలా మార్చడం పాపం. న్యాయస్థానాన్ని అలా అనుమతించడం మానవాళి విధ్వంసం వైపు ప్రయాణం. దీన్ని క్రైస్తవం తీవ్రంగా ఖండిస్తోంది. న్యాయ వ్యవస్థ కోసం ప్రార్థిద్దాం మరియు దేశం పవిత్రం కావాలి! ఆమెన్	Homophobic	eng_tel
32	షాకుల్ హమీద్ షాకుల్ దేయ్ తులుక్కా అ... ముగించు...	Non-anti-LGBT+ content	eng_tel
33	మీరు ఏమి చెప్పినా అది పురుషునికి స్త్రీ అని మేము అడగబోము. Ip మరొక సబ్బు ఉంది, ప్రజలు చూడండి.	Homophobic	eng_tel
34	లింగమార్పిడి రెవ్యూ లింగమార్పిడి	Non-anti-LGBT+ content	eng_tel
35	అతడే ప్యూన్	Non-anti-LGBT+ content	eng_tel
36	ఇది చాలా చెడ్డ చర్య.అమ్మా నాన్న ఇద్దరు.	Homophobic	eng_tel
37	ఈ రోజు, సూపర్ సూపర్, మీ ప్రతిభకు అభినందనలు	Non-anti-LGBT+ content	eng_tel
38	అద్భుతం బ్రదర్ అద్భుతం థంప్స్_సబ్ రెడ్_హార్ట్ థంప్స్_ఉప్పు	Non-anti-LGBT+ content	eng_tel
39	U R A అందమైన అమ్మాయి_కఠినమైన_కళ్లతో_నవ్వుతున్న_బాస్_కఠినమైన_కళ్లతో ఒమన్_డ్యాన్స్ చేస్తున్న ఒమన్_డ్యాన్స్	Non-anti-LGBT+ content	eng_tel
40	ధర్మలింగం భూమినాథన్ కూడలూరు జిల్లా	Non-anti-LGBT+ content	eng_tel
41	కోడ్ మీతో ఉంటుంది	Non-anti-LGBT+ content	eng_tel
42	ఆకుపచ్చ రంగు జాకెట్. దివ్య. చంద్రుడిని చూడు. మీరు అబిడారే సీలింగ్ వెంట్రుకలను వదిలేస్తే, మీరు ఎటువంటి పెరుగుదలను పొందలేరు. దివ్య.తిరుపూర్ల .కట్టపంచాయత్.పన్నా..బి*** విల్లా సుట్.	Non-anti-LGBT+ content	eng_tel
43	ఆ మింట్ సర్ లాటు మాన్_స్రగ్గింగ్ సెల్యూట్ ప్రో హ్యాండ్‌షే	Non-anti-LGBT+ content	eng_tel
44	అర్ధనారీశ్వరురాలైన మీ అందరికీ ఈ విషయం ఏదో ఒకరోజు తెలుస్తుంది. తేనె వరకు వేచి ఉండండి. మంచి విషయాలు కపన్ ఆలోచిద్దాం.	Non-anti-LGBT+ content	eng_tel
45	ఇది పని చేస్తుందా ఈ అడ్మిన్ లోలిలా....	Non-anti-LGBT+ content	eng_tel
46	AA-పోప్ పోస్ట్ మీరు అబ్బాయివా?	Non-anti-LGBT+ content	eng_tel
47	ది ఎండ్ దాస్ బేకన్	Homophobic	eng_tel
48	అవి చాలా పదజాలం. పోలీసులు చర్య తీసుకోవాలి	Non-anti-LGBT+ content	eng_tel
49	ఏ జీవి తన స్వంత రాజవంశాన్ని నాశనం చేయలేదు. హేతువు ఉందని చెప్పుకునే మానవ జాతి సర్వ ఆమోదంతో తనను తాను పాడుచేసుకోవడం, నాశనం చేసుకోవడం అనే మహాపాపానికి పాల్పడాలనుకుంటోంది. తల్లి తన బిడ్డ పట్ల చూపిన క్రూరత్వాల గురించి మనం ఇప్పటికే విన్నాము. మన దేశంలో ఇంకా ఎన్ని భయంకరమైన దురాగతాలు, అంటువ్యాధులు వస్తాయి	Homophobic	eng_tel
50	ఉ హవ్ చ్తుర్దేతు డు చౌ లిటిల్ పాయ లిట్లే	Non-anti-LGBT+ content	eng_tel
