	text	category	ln
0	Ardhanareeswarar is male and female. This is one sided. +Ve	Transphobic	tam_eng
1	section377 | Homosexuality is good or bad public opinion | Homosexuality people's opinion	Non-anti-LGBT+ content	tam_eng
2	The four people who are there should be together with those outcasts and the people are going to be calm, so those outcasts are doing such incivility or anarchy. Will the human rights activists who support them, who portray them as good people in the movie, ever turn around?	Transphobic	tam_eng
3	Shanth sha  say sex is only for reproduction! But why don't you prevent women from accepting contraceptives in maternity hospitals? If you eat blood, we eat tomato chutney!!	Non-anti-LGBT+ content	tam_eng
4	Jeevanathi Priyan hi	Non-anti-LGBT+ content	tam_eng
5	It is a very wrong dog to leave all this in the country	Homophobic	tam_eng
6	Yes brother, you are right, govarnmend work, the world can't stand it	Non-anti-LGBT+ content	tam_eng
7	Thirumalai Nambirajan Perumal Chinni you think	Non-anti-LGBT+ content	tam_eng
8	Ditching ditching. In this, the fair mind is the alien skull.	Homophobic	tam_eng
9	First of all, tell me if the interviewer is female or not?...... Pls... thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up Please send this animal to AREA 51.....	Homophobic	tam_eng
10	Why are all these people alive?	Homophobic	tam_eng
11	Such dogs should be shot	Homophobic	tam_eng
12	You should live longer	Non-anti-LGBT+ content	tam_eng
13	Value talent ... Plss gender pakkathiga ...	Non-anti-LGBT+ content	tam_eng
14	Tell man everything is different but the feeling is the same....we cry when we are sad or we laugh when we are happy and all the six tastes are the same but show this feeling alone.	Non-anti-LGBT+ content	tam_eng
15	Animal sex is not allowed anymore	Homophobic	tam_eng
16	Their love is real plz.............	Non-anti-LGBT+ content	tam_eng
17	I love everything about you and I think of you as a god	Non-anti-LGBT+ content	tam_eng
18	O Jesus, light of the world, people like you who do not have self-intelligence are ignorant and eat cow dung and cow urine.	Non-anti-LGBT+ content	tam_eng
19	I have a request friends...please help those who see this transsexual before they come to us and ask for help....at least we will do that respect red_heart	Non-anti-LGBT+ content	tam_eng
20	I don't know Hindi face_with_medical_mask	Non-anti-LGBT+ content	tam_eng
21	Thanks for doing such a good job	Non-anti-LGBT+ content	tam_eng
22	Please comment me.	Non-anti-LGBT+ content	tam_eng
23	Awesome mom transgender phone	Non-anti-LGBT+ content	tam_eng
24	BSM Do you like lesbians?	Non-anti-LGBT+ content	tam_eng
25	Can one buy a hit and be idle? Is it cruel to ask him? Muttabunda son	Non-anti-LGBT+ content	tam_eng
26	Make a call	Non-anti-LGBT+ content	tam_eng
27	BSM Do you do that everyday? Anyone. What will your husband do at that time?	Non-anti-LGBT+ content	tam_eng
28	Jose Morphin in Tamil	Non-anti-LGBT+ content	tam_eng
29	Subash Bose Is life only about having children...???	Non-anti-LGBT+ content	tam_eng
30	I have that thought too	Non-anti-LGBT+ content	tam_eng
