	text	category	ln
0	मैं उसका समर्थन करता हूं, बहुत स्मार्ट पोंनू	Non-anti-LGBT+ content	eng_hin
1	प्रियदर्शनी कन्नन  सेक्स के साथ समान लिंग आकर्षण पहले प्यार नहीं है.. प्यार अधिक सकारात्मक साइड इफेक्ट के साथ एक मानसिक रोग है.. लेकिन सेक्स के लिए प्रासंगिक लिंग आकर्षण एक पागल भाई है	Homophobic	eng_hin
2	भाई आपका नाम और फोन नंबर (या) मोबाइल नंबर कृपया कोटुइंगा	Non-anti-LGBT+ content	eng_hin
3	अनुभव  थैक्स भाई आई लव यू सो मच ब्रो	Non-anti-LGBT+ content	eng_hin
4	दुनिया दिन ब दिन खराब होती जा रही है....	Non-anti-LGBT+ content	eng_hin
5	कृपया भाग 2 जल्द ही अपलोड करें	Non-anti-LGBT+ content	eng_hin
6	डॉ वेंकटेश राजगोपालन  सर जानवरों के बीच संभोग एक अलग तरीके से होता है, जैसे कि अगर किसी जानवर ने व्यभिचार प्राप्त करने के बाद एक बच्चे को जन्म दिया है, अगर संभोग करने के लिए कोई अन्य जानवर नहीं है, तो उस जानवर के साथ संभोग किया जाता है जो बच्चे को जन्म देता है। .; ; मेरी समझ के अनुसार LGBTI एकल सेक्स वांछित व्यक्ति के बीच कुछ हद तक समानता है। इस न्याय ने हमें समाज में सिर्फ समानता दी है। हमारे पास उनकी आलोचना करने का अधिकार नहीं है।	Non-anti-LGBT+ content	eng_hin
7	मैं एलजीबीटी का समर्थन करूंगा मैं पुरुष से पुरुष विवाह समानता का समर्थन करूंगा	Non-anti-LGBT+ content	eng_hin
8	इन व्यक्तियों को शिक्षित किया जा सकता है, नौकरी के लिए प्रशिक्षित किया जा सकता है जैसे नर्सिंग होम में सुरक्षा व्यक्ति, महिला पीजी प्रसूति अस्पताल मॉल और फैशन डिजाइन नर्स प्राथमिक विद्यालय के शिक्षक। उनके संघ को उत्थान के लिए सरकार के साथ काम करना चाहिए।	Non-anti-LGBT+ content	eng_hin
9	पूरी तरह से फिल्म से प्रेरित! शानदार पिक्चराइजेशन, म्यूजिक, इमोशनल सीक्वेंस और जबरदस्त एक्टिंग! अभिनेताओं ने वास्तव में बहुत अच्छा काम किया है! प्रशंसा!!	Non-anti-LGBT+ content	eng_hin
10	भाई..अभी भी हमारे राज्य में प्रेम विवाह स्वीकार नहीं है..केवल 20 से 30% प्रेम परिवार द्वारा स्वीकार किया जाता है	Non-anti-LGBT+ content	eng_hin
11	मनोरंजन के लिए ठीक है जीवन के लिए नहीं।	Non-anti-LGBT+ content	eng_hin
12	जब दूसरों को कोई नुकसान नहीं होता है तो हर कोई अपना निर्णय नहीं ले सकता है	Non-anti-LGBT+ content	eng_hin
13	यह बहुत दिल को छू लेने वाला है अन्ना विनती_चेहरा टूटा_दिल	Non-anti-LGBT+ content	eng_hin
